DESCRIPTION,PARKING_ZONE,PERMIT_ZONE,STALL_TYPE,STATUS,ADDRESS_DESC,CTP_CLASS,DOT,ENFORCEABLE_TIME,NO_PARKING,NO_STOPPING,PARKING_RESTRICTION,TIME_RESTRICTION,CAMERA,OCTANT,line,Global_ID
R7958,EE,EE,Parallel,Active,00 Block GREENWOOD CR SW,Residential Street,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1432848 51.0139808, -114.1434847 51.0139806, -114.1436427 51.0139817, -114.1436834 51.013982, -114.1436895 51.0139821, -114.1436999 51.0139821, -114.1437115 51.013982, -114.1437213 51.0139812, -114.1437319 51.0139795, -114.1437432 51.0139778, -114.1437533 51.013976, -114.1437668 51.013973, -114.1437809 51.013969, -114.1437908 51.0139658, -114.1438011 51.0139622, -114.1438116 51.0139566, -114.1438242 51.0139494))",2ceac3b6-5f89-414e-be3e-3359876af477
R8022,TT,TT,Parallel,Active,4800 Block DALHOUSIE DR NW,Residential Street,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1575072 51.105851, -114.1575347 51.1058611, -114.1575915 51.1058849, -114.1581156 51.1061057, -114.1581229 51.1061089))",bd2a1e30-47c6-4f2a-bbb2-b22f2ef0abcd
R81,LL,LL,Parallel,Active,900 Block 8 AV SE,Residential Street,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,SE,"MULTILINESTRING ((-114.0392435 51.0437191, -114.0405431 51.0440291, -114.0406078 51.0440447))",7706ccb0-6d9a-4ee9-9869-114b07039f4c
R3241,S,S,Parallel,Active,2800 Block 6 AV NW,Residential Street,E,0700-1700 MON-SAT,,,120,0700-1700 MON-SAT,FR,NW,"MULTILINESTRING ((-114.1255363 51.0577706, -114.1255519 51.0577732, -114.1255687 51.0577747, -114.1255852 51.0577754, -114.1256021 51.0577757, -114.1256158 51.0577757, -114.1256219 51.0577757, -114.1256918 51.0577753, -114.1258665 51.0577751, -114.1259619 51.0577751, -114.1260499 51.0577747, -114.1261664 51.0577743, -114.1262647 51.0577746, -114.1263834 51.0577749, -114.1274414 51.0577737))",7f467430-f4f1-4098-bdf3-767c3e9a1dfc
R3960,M,M,Parallel,Active,100 Block 7 AV NW,Residential Street,E,0700-1700 MON-SAT,,,120,0700-1700 MON-SAT,FR,NW,"MULTILINESTRING ((-114.0634618 51.0588345, -114.0634654 51.0588353, -114.0634692 51.0588361, -114.0634731 51.0588368, -114.063477 51.0588374, -114.063481 51.0588378, -114.063485 51.0588381, -114.0634894 51.0588383, -114.0634938 51.0588384, -114.0634983 51.0588385, -114.0635027 51.0588386, -114.0635071 51.0588387, -114.0635137 51.0588388, -114.0635202 51.0588389, -114.0635268 51.0588391, -114.0635334 51.0588392, -114.0635399 51.0588392, -114.0635573 51.0588394, -114.0635747 51.0588396, -114.0635921 51.0588398, -114.0636095 51.0588399, -114.063627 51.05884, -114.0636598 51.0588399, -114.0643107 51.0588425, -114.064418 51.0588434))",d4ba856b-2e4c-4d29-bbd4-aabe52165ddd
R3980,M,M,Parallel,Active,100 Block 6 AV NW,Residential Street,E,0700-1700 MON-SAT,,,120,0700-1700 MON-SAT,FR,NW,"MULTILINESTRING ((-114.0639018 51.0579645, -114.0644816 51.0579646))",10e24cba-ec1b-46bd-af80-b0a4f0aa0414
R3981,M,M,Parallel,Active,100 Block 6 AV NW,Residential Street,E,0700-1700 MON-SAT,,,120,0700-1700 MON-SAT,FR,NW,"MULTILINESTRING ((-114.0634109 51.0579643, -114.0637609 51.0579644))",0749a315-7cac-43e2-af19-d719a4b52ef4
R4048,M,M,Parallel,Active,200 Block 2 AV NE,Residential Street,E,0700-1700 MON-SAT,,,120,0700-1700 MON-SAT,FR,NE,"MULTILINESTRING ((-114.0577723 51.0543534, -114.0577785 51.0543539, -114.0577847 51.0543543, -114.0577909 51.0543545, -114.0577957 51.0543547, -114.0578004 51.0543549, -114.0578051 51.054355, -114.0578098 51.0543551, -114.0578145 51.0543551, -114.0578187 51.0543551, -114.0578228 51.0543551, -114.0578269 51.0543551, -114.0578311 51.054355, -114.0578352 51.0543549, -114.0578643 51.0543547, -114.0580439 51.0543555, -114.0582947 51.0543566, -114.0588874 51.054359, -114.0592162 51.0543601, -114.0596332 51.0543619, -114.0596915 51.0543634, -114.0597483 51.0543673))",d6e843e7-ccff-44ba-9722-44ba938c40f4
R4274,SCA,SCA,Parallel,Active,100 Block SCURFIELD PL NW,Residential Street,E,0700-1700 MON-SAT,,,120,0700-1700 MON-SAT,FR,NW,"MULTILINESTRING ((-114.2138655 51.1201003, -114.2138638 51.1200978, -114.2138595 51.1200914, -114.2138548 51.1200823, -114.2138511 51.120073, -114.2138488 51.1200639, -114.2138478 51.1200547, -114.2138481 51.1200454, -114.2138498 51.1200361, -114.2138528 51.120027, -114.2138574 51.120017, -114.213863 51.1200074, -114.21387 51.1199981, -114.2138785 51.1199891, -114.2138889 51.1199803, -114.2138988 51.1199733, -114.2139093 51.1199672, -114.2139204 51.1199619, -114.2139324 51.1199572, -114.2139455 51.1199528, -114.2139595 51.119949, -114.2139736 51.1199458, -114.2139877 51.1199435, -114.2140019 51.119942, -114.2140161 51.1199413, -114.2140271 51.1199412, -114.2140383 51.1199416, -114.2140495 51.1199425, -114.2140604 51.1199442, -114.214071 51.1199467, -114.2140861 51.1199513, -114.214101 51.119956, -114.2141156 51.1199607, -114.2141302 51.1199655, -114.2141448 51.1199704, -114.2141567 51.1199744, -114.2141686 51.1199785, -114.2141805 51.1199827, -114.2141924 51.1199868, -114.2142045 51.1199907, -114.2142159 51.1199941, -114.2142276 51.1199971, -114.2142395 51.1199997, -114.2142516 51.1200022, -114.2142637 51.1200046, -114.2142781 51.1200073, -114.2142926 51.1200099, -114.2143071 51.1200122, -114.2143218 51.120014, -114.2143366 51.1200153, -114.2143495 51.1200161, -114.2143623 51.1200166, -114.2143752 51.1200169, -114.2143881 51.120017, -114.214401 51.1200168, -114.2144204 51.1200165, -114.2144398 51.1200162, -114.2144592 51.1200159, -114.2144787 51.1200155, -114.2144981 51.1200149, -114.2145168 51.1200144, -114.2145356 51.1200138, -114.2145543 51.1200132, -114.214573 51.1200126, -114.2145917 51.120012, -114.2146084 51.1200116, -114.2146251 51.1200112, -114.2146418 51.1200107, -114.2146585 51.1200103, -114.2146752 51.1200098, -114.2146812 51.1200096, -114.2146871 51.1200094, -114.2146931 51.1200091, -114.214699 51.1200088, -114.214705 51.1200084, -114.2147117 51.1200079, -114.2147183 51.1200073, -114.214725 51.1200067, -114.2147317 51.120006, -114.2147383 51.1200053, -114.2147506 51.1200032, -114.2147622 51.1200001, -114.2147733 51.119996, -114.214784 51.1199911, -114.2147945 51.1199857))",a26bea10-3c7e-46d8-9056-8a43b471b54d
R4605,K,K,Parallel,Active,1100 Block 5 AV NW,Collector,E,0700-1700 MON-SAT,,,60,0700-1700 MON-SAT,FR,NW,"MULTILINESTRING ((-114.0871122 51.0570508, -114.0880949 51.057046))",aa11f11c-115e-4afd-a811-0fa729b2ab03
R4672,L,L,Parallel,Active,500 Block 9 AV NW,Residential Street,E,0700-1700 MON-SAT,,,120,0700-1700 MON-SAT,FR,NW,"MULTILINESTRING ((-114.0730431 51.0609981, -114.073063 51.061011, -114.0730643 51.0610117, -114.0730684 51.0610138, -114.0730728 51.0610158, -114.0730773 51.0610176, -114.0730859 51.0610208, -114.0730946 51.0610238, -114.0731035 51.0610264, -114.0731127 51.0610286, -114.0731221 51.0610303, -114.0731351 51.0610322, -114.073148 51.0610338, -114.073161 51.0610352, -114.073174 51.0610364, -114.0731872 51.0610373, -114.0732077 51.0610386, -114.0732283 51.0610399, -114.0732488 51.061041, -114.0732694 51.0610419, -114.07329 51.0610424, -114.0734686 51.0610423, -114.0735804 51.0610422))",95d5470b-c41d-4bd5-95a8-65e4d20064d1
R4675,L,L,Parallel,Active,500 Block 9 AV NW,Residential Street,E,0700-1700 MON-SAT,,,120,0700-1700 MON-SAT,FR,NW,"MULTILINESTRING ((-114.0737856 51.0610394, -114.0737976 51.0610395, -114.0738255 51.0610396, -114.0738478 51.0610396, -114.07387 51.0610396, -114.0738922 51.0610395, -114.0739144 51.0610395, -114.0739367 51.0610395, -114.0739598 51.0610399, -114.073983 51.0610407, -114.0740061 51.0610416, -114.0740293 51.0610426, -114.0740524 51.0610432, -114.0740695 51.0610435, -114.0740865 51.0610436, -114.0741021 51.0610435))",d48fda36-13b2-4f3b-92da-fb0b6909b2dc
R7468,M,M,Parallel,Active,100 Block 7 AV NW,Residential Street,E,0700-1700 MON-SAT,,,120,0700-1700 MON-SAT,FR,NW,"MULTILINESTRING ((-114.064418 51.0588434, -114.0645606 51.0588444, -114.0647783 51.0588454, -114.0648552 51.0588458, -114.064859 51.0588457, -114.0648628 51.0588457, -114.0648666 51.0588456, -114.0648704 51.0588456, -114.0648742 51.0588455, -114.0648777 51.0588455, -114.0648812 51.0588454, -114.0648848 51.0588452, -114.0648883 51.058845, -114.0648918 51.0588448, -114.0648949 51.0588445, -114.064898 51.058844, -114.064901 51.0588432, -114.0649039 51.0588424, -114.0649068 51.0588414, -114.064909 51.0588406, -114.0649111 51.0588398, -114.0649132 51.0588389, -114.0649153 51.0588379))",67aeda02-f1d6-44f2-9f18-2ba7d5ae7bc3
