DESCRIPTION,PARKING_ZONE,PERMIT_ZONE,STALL_TYPE,STATUS,ADDRESS_DESC,CTP_CLASS,DOT,ENFORCEABLE_TIME,NO_PARKING,NO_STOPPING,PARKING_RESTRICTION,TIME_RESTRICTION,CAMERA,OCTANT,line,Global_ID
R840,Z,Z,Parallel,Active,1700 Block 6 AV NW,Collector,E,0800-1700 MON-FR,,,120,0800-1700 MON-FR,FR,NW,"MULTILINESTRING ((-114.098641 51.0575562, -114.0987358 51.057556, -114.0989327 51.0575555, -114.0991296 51.057555, -114.0992484 51.0575548, -114.0992498 51.0575548))",8d5d67f9-683f-4a12-b663-e32560c5ca7e
R1110,E,E,Parallel,Active,3500 Block MORLEY TR NW,Collector,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1213625 51.0820441, -114.1231883 51.0825275))",bedfa307-1456-4bd6-ba1e-e7bd0e7f98cb
R1114,D,D,Parallel,Active,600 Block 17 AV SE,Residential Street,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SE,"MULTILINESTRING ((-114.0455034 51.0377927, -114.045505 51.0377927, -114.0455774 51.0377925, -114.0457756 51.037792, -114.0459285 51.0377916))",5232f3cc-79e9-4185-9a7a-927077d8ad3f
R1838,E,E,Parallel,Active,3500 Block MORLEY TR NW,Collector,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1233199 51.0825637, -114.1233826 51.0825809, -114.1234352 51.0825947, -114.123447 51.0825978))",3c640b3e-70ba-4a23-ba2d-a321de79585d
R203,D,D,Parallel,Active,600 Block 17 AV SE,Residential Street,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SE,"MULTILINESTRING ((-114.0450259 51.0377927, -114.0452942 51.0377924))",0fbecf6b-6cb5-4413-84d6-805edb7179a2
R6973,E,E,Parallel,Active,3500 Block MORLEY TR NW,Collector,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1202903 51.0817056, -114.1204806 51.081799, -114.1205208 51.0818137, -114.1205585 51.081827, -114.1206049 51.0818422, -114.1206806 51.0818639, -114.1207646 51.0818852, -114.1208612 51.0819107, -114.1209332 51.0819304, -114.1209872 51.0819447, -114.1213625 51.0820441))",046e323e-3c77-4ab8-8f3d-0579893bd010
R762,E,E,Parallel,Active,3500 Block MORLEY TR NW,Collector,E,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1235466 51.0826239, -114.1236092 51.0826411, -114.1236642 51.0826579, -114.1237248 51.0826825, -114.1237667 51.0826965, -114.1237967 51.0827111, -114.123841 51.0827354, -114.1241137 51.0829043))",e20be307-e71c-4baa-9442-ae23467d3b15
R4471,NA,NA,Parallel,Active,200 Block 8 ST SW,Residential Street,N,0001-2359 MON-SUN,,,Special Permit,0800-1700 MON-FR,FR,SW,"MULTILINESTRING ((-114.0807993 51.0510765, -114.0808061 51.0509978))",648168d5-0c56-4290-afa0-15667695a150
R4473,NA,NA,Parallel,Active,400 Block 10 ST SW,Residential Street,N,0001-2359 MON-SUN,,,30,SUN,FR,SW,"MULTILINESTRING ((-114.085863 51.0493815, -114.0858782 51.0491694))",8dda6b6e-cdda-490d-80af-78c4f2952546
